date,open,low,high,close,volume
2023-06-16 15:59:00,4.35,4.35,4.3999,4.3604,12691
2023-06-16 15:58:00,4.3627,4.34,4.4199,4.35,5573
2023-06-16 15:57:00,4.32,4.32,4.37,4.37,4057
2023-06-16 15:56:00,4.43,4.34,4.43,4.34,1162
2023-06-16 15:55:00,4.32,4.32,4.4,4.36,6235
2023-06-16 15:54:00,4.32,4.32,4.3999,4.3999,2557
2023-06-16 15:53:00,4.415,4.4,4.43,4.4,3004
2023-06-16 15:52:00,4.4,4.4,4.4035,4.4,3960
2023-06-16 15:51:00,4.4,4.4,4.43,4.4,2349
2023-06-16 15:50:00,4.4,4.4,4.44,4.44,3378
2023-06-16 15:48:00,4.45,4.4164,4.45,4.4164,2157
2023-06-16 15:47:00,4.4022,4.4022,4.43,4.43,1603
2023-06-16 15:46:00,4.44,4.4,4.45,4.4022,3109
2023-06-16 15:45:00,4.4499,4.33,4.45,4.45,4802
2023-06-16 15:44:00,4.63,4.27,4.63,4.3533,19260
2023-06-16 15:43:00,4.61,4.6,4.63,4.63,3320
2023-06-16 15:42:00,4.67,4.61,4.67,4.62,4128
2023-06-16 15:41:00,4.705,4.705,4.71,4.71,1000
2023-06-16 15:40:00,4.68,4.67,4.68,4.67,2770
2023-06-16 15:38:00,4.67,4.67,4.7,4.7,2664
2023-06-16 15:36:00,4.69,4.69,4.75,4.75,1211
2023-06-16 15:35:00,4.67,4.67,4.68,4.68,1941
2023-06-16 15:34:00,4.68,4.67,4.68,4.67,563
2023-06-16 15:33:00,4.75,4.67,4.75,4.67,4172
2023-06-16 15:32:00,4.755,4.75,4.76,4.76,1379
2023-06-16 15:31:00,4.75,4.75,4.75,4.75,527
2023-06-16 15:30:00,4.75,4.75,4.75,4.75,3628
2023-06-16 15:29:00,4.81,4.75,4.81,4.75,889
2023-06-16 15:28:00,4.7781,4.7781,4.7781,4.7781,512
2023-06-16 15:26:00,4.67,4.67,4.71,4.71,3415
2023-06-16 15:25:00,4.65,4.65,4.71,4.6771,4082
2023-06-16 15:24:00,4.6258,4.6258,4.67,4.67,2015
2023-06-16 15:23:00,4.61,4.61,4.62,4.62,662
2023-06-16 15:22:00,4.67,4.61,4.67,4.61,3871
2023-06-16 15:21:00,4.6578,4.61,4.67,4.67,2351
2023-06-16 15:20:00,4.64,4.61,4.64,4.61,436
2023-06-16 15:19:00,4.62,4.61,4.62,4.61,594
2023-06-16 15:18:00,4.62,4.62,4.62,4.62,127
2023-06-16 15:17:00,4.6,4.6,4.67,4.67,2547
2023-06-16 15:15:00,4.6,4.6,4.6,4.6,121
2023-06-16 15:14:00,4.6148,4.6,4.6148,4.6,2858
2023-06-16 15:13:00,4.6,4.6,4.6,4.6,130
2023-06-16 15:12:00,4.6,4.6,4.6,4.6,552
2023-06-16 15:11:00,4.6085,4.6,4.62,4.62,2387
2023-06-16 15:10:00,4.65,4.6,4.65,4.6,1949
2023-06-16 15:08:00,4.675,4.675,4.7,4.675,1883
2023-06-16 15:07:00,4.675,4.675,4.675,4.675,501
2023-06-16 15:06:00,4.7,4.7,4.7,4.7,548
2023-06-16 15:05:00,4.6,4.6,4.6,4.6,563
2023-06-16 15:03:00,4.6,4.6,4.6,4.6,494
2023-06-16 15:01:00,4.61,4.61,4.75,4.75,592
2023-06-16 15:00:00,4.6016,4.6016,4.6016,4.6016,350
2023-06-16 14:59:00,4.675,4.6,4.675,4.6,704
2023-06-16 14:58:00,4.75,4.75,4.75,4.75,200
2023-06-16 14:56:00,4.62,4.615,4.63,4.615,1149
2023-06-16 14:55:00,4.63,4.63,4.63,4.63,601
2023-06-16 14:54:00,4.6,4.6,4.6,4.6,605
2023-06-16 14:53:00,4.6,4.6,4.6,4.6,944
